date,actual,predicted,lower_90,upper_90,residual,fold,category
2018-06-21,3.6888794541139363,2.6445018805100986,2.062969508614558,3.2408878920943236,1.0443775736038377,1,health_beauty
2018-06-22,3.044522437723423,2.569154480237805,2.025567826190591,3.160149191677595,0.4753679574856182,1,health_beauty
2018-06-23,3.258096538021482,2.3420308465238575,1.780324338472246,2.9342992711397664,0.9160656914976246,1,health_beauty
2018-06-24,3.663561646129646,2.4641643503535695,1.8747924936096685,3.0170658153722596,1.1993972957760763,1,health_beauty
2018-06-25,3.465735902799727,2.6931938595217386,2.063728705253704,3.241675721270246,0.7725420432779884,1,health_beauty
2018-06-26,3.4011973816621555,2.65226532301033,2.0372262242107357,3.2898813453220854,0.7489320586518255,1,health_beauty
2018-06-27,3.6109179126442243,2.677511992311769,2.1113196941952417,3.281187928860803,0.9334059203324552,1,health_beauty
2018-06-28,3.8501476017100584,2.660492554289603,2.074842602926323,3.2463646829010546,1.1896550474204552,1,health_beauty
2018-06-29,3.091042453358316,2.5872661415800473,1.980366104452556,3.1514655278621957,0.5037763117782688,1,health_beauty
2018-06-30,2.772588722239781,2.361828128688202,1.7323295601112774,3.0020881220920494,0.41076059355157923,1,health_beauty
2018-07-01,2.3978952727983707,3.0993391369711194,2.509657637311459,3.6893411058408945,-0.7014438641727487,2,health_beauty
2018-07-02,3.1780538303479458,3.317776383695486,2.6987035909777592,3.9541119570524765,-0.13972255334754013,2,health_beauty
2018-07-03,3.6375861597263857,3.268735053502551,2.6829271089295257,3.876247672108365,0.3688511062238349,2,health_beauty
2018-07-04,3.5553480614894135,3.2923458022648466,2.7191945345332105,3.881651109178835,0.2630022592245669,2,health_beauty
2018-07-05,3.465735902799727,3.2715474180731094,2.6774068670064026,3.901298550022482,0.19418848472661754,2,health_beauty
2018-07-06,2.772588722239781,3.1804877745445745,2.5995837621828772,3.7898473812156888,-0.4078990523047934,2,health_beauty
2018-07-07,2.9957322735539904,2.9436510974731958,2.3695984927822034,3.5491506072901364,0.052081176080794656,2,health_beauty
2018-07-08,3.1354942159291497,3.077058918177863,2.4663524579333322,3.6769036509189013,0.05843529775128653,2,health_beauty
2018-07-09,3.1780538303479458,3.3022866483833644,2.7222156553528682,3.8968299140327485,-0.12423281803541864,2,health_beauty
2018-07-10,2.8903717578961645,3.2600243850043626,2.655113108309058,3.871990504762688,-0.36965262710819813,2,health_beauty
2018-07-11,2.4849066497880004,3.2901924841088865,2.71271192828755,3.9016684778840096,-0.8052858343208862,2,health_beauty
